time_stamp,H,T,PM,AOD,PBLH
1/1/2022,,,,0.720399836,386.2259553
1/2/2022,,,,0.572093585,346.8317263
1/3/2022,,,,0.470000022,286.302038
1/4/2022,,,,-9999,372.9657476
1/5/2022,,,,-9999,363.7959261
1/6/2022,,,,0.922520223,458.1821266
1/7/2022,,,,0.953985828,432.479429
1/8/2022,,,,0.928024809,406.8911519
1/9/2022,,,,-9999,407.3344568
1/10/2022,,,,0.661500031,372.8339543
1/11/2022,,,,-9999,371.4806762
1/12/2022,,,,-9999,400.1601063
1/13/2022,,,,-9999,426.871023
1/14/2022,,,,0.591000028,462.876965
1/15/2022,,,,-9999,413.8312696
1/16/2022,,,,-9999,372.6152971
1/17/2022,,,,0.356681568,397.0989063
1/18/2022,,,,-9999,395.5617167
1/19/2022,,,,0.648000031,331.6940624
1/20/2022,,,,0.738000035,344.0251271
1/21/2022,,,,1.19754887,471.7280863
1/22/2022,,,,1.0665372,457.9071578
1/23/2022,,,,1.1269198,437.9482537
1/24/2022,,,,1.05268074,426.524766
1/25/2022,,,,-9999,330.1514812
1/26/2022,,,,0.689500033,385.580767
1/27/2022,,,,0.976799806,435.3866703
1/28/2022,,,,1.19000006,364.5477472
1/29/2022,,,,1.41390743,414.5219866
1/30/2022,,,,1.86644794,447.5026722
1/31/2022,,,,1.15086035,424.8971182
2/1/2022,,,,1.63500008,430.6067653
2/2/2022,,,,0.889500042,385.3477324
2/3/2022,,,,0.997000047,478.3698718
2/4/2022,,,,1.65350008,463.1016128
2/5/2022,,,,0.850301635,459.4239794
2/6/2022,,,,1.08600923,455.5684249
2/7/2022,,,,1.16847942,456.644937
2/8/2022,,,,1.63273838,430.1682529
2/9/2022,,,,1.28302941,380.2910614
2/10/2022,,,,-9999,389.106239
2/11/2022,56.558,92.5,35.168,0.574000027,453.1374368
2/12/2022,52.769,95.166,31.717,0.790500038,455.8697525
2/13/2022,70.333,84.039,52.4365,0.911000043,372.59433
2/14/2022,62.556,89.282,63.66,0.660281447,427.1615675
2/15/2022,58.253,91.919,42.378,0.73329796,454.5973476
2/16/2022,58.078,92.7,35.9115,0.62650324,494.3617962
2/17/2022,62.729,90.083,41.264,0.955000045,393.0390722
2/18/2022,60.564,91.788,35.7945,0.459500022,440.8704716
2/19/2022,60.318,90.499,31.519,0.345000016,351.0586983
2/20/2022,59.862,90.303,37.7705,0.341000016,339.7502302
2/21/2022,61.631,90.4,46.689,0.699510123,381.0650477
2/22/2022,59.877,91.526,44.917,-9999,337.7871084
2/23/2022,58.844,91.196,33.9035,1.30135073,380.6912339
2/24/2022,58.107,92.501,45.0305,1.31501413,380.435435
2/25/2022,57.341,93.392,39.459,0.831952941,460.3411412
2/26/2022,59.48,92.734,33.2945,-9999,482.6603443
2/27/2022,59.649,92.481,28.995,0.754000036,387.5900165
2/28/2022,61.744,88.416,39.3445,0.905721353,380.3359909
3/1/2022,60.41,91.329,40.0995,0.920000044,399.9504351
