time_stamp,H,T,PM,AOD,PBLH
1/1/2023,62.832,88.468,31.528,-9999,266.7115965
1/2/2023,60.357,89.297,25.12,0.756000036,373.2168762
1/3/2023,61.376,89.66,28.2155,0.700400033,286.7104158
1/4/2023,61.383,89.123,33.065,1.25000006,263.2599316
1/5/2023,61.514,88.135,10.0455,1.20300006,327.2205625
1/6/2023,61.775,88.382,22.241,0.713333367,364.7294304
1/7/2023,60.76,89.083,21.097,-9999,337.4086036
1/8/2023,57.976,90.719,29.22,0.855800041,335.7772487
1/9/2023,57.221,91.676,25.077,-9999,278.1634362
1/10/2023,62.891,88.345,37.5465,0.669600032,385.2886437
1/11/2023,,,,-9999,329.4699039
1/12/2023,,,,-9999,341.7228611
1/13/2023,,,,0.621666696,351.4106891
1/14/2023,,,,0.810000038,367.3301505
1/15/2023,,,,0.862000041,345.4696064
1/16/2023,,,,0.917000044,332.6666089
1/17/2023,,,,-9999,372.338753
1/18/2023,,,,-9999,308.1917555
1/19/2023,60.886,89.586,23.376,-9999,305.9961239
1/20/2023,59.84,89.497,24.483,-9999,328.5859567
1/21/2023,58.566,90.773,20.3085,-9999,387.8013573
1/22/2023,58.011,90.426,15.414,-9999,306.2497896
1/23/2023,,,,-9999,368.6360109
1/24/2023,,,,0.685500033,359.515048
1/25/2023,,,,0.599000028,353.1598174
1/26/2023,,,,0.382000018,330.8372395
1/27/2023,,,,-9999,397.1902222
1/28/2023,,,,0.375250018,386.5006737
1/29/2023,,,,0.42340002,484.1943073
1/30/2023,,,,0.722000034,341.4899029
1/31/2023,,,,0.351500017,369.5594316
2/1/2023,,,,-9999,449.53206
2/2/2023,,,,-9999,320.7216742
2/3/2023,,,,0.257666679,402.4486077
2/4/2023,,,,0.507000024,332.125628
2/5/2023,,,,0.644000031,303.2161554
2/6/2023,,,,0.788666704,428.4234534
2/7/2023,,,,0.741500035,380.1001456
2/8/2023,,,,0.775000037,363.3530353
2/9/2023,,,,0.786250037,453.9032628
2/10/2023,,,,0.85000004,396.4013996
2/11/2023,58.462,92.329,14.8495,0.804000038,334.71923
2/12/2023,58.306,92.417,17.1955,0.806000038,355.3735679
2/13/2023,58.463,91.088,21.565,-9999,357.3964221
2/14/2023,59.138,91.385,20.827,1.19133339,344.0634445
2/15/2023,56.979,91.615,31.777,1.52500007,329.8995825
2/16/2023,55.243,93.149,36.513,1.27350006,333.7116855
2/17/2023,59.399,91.614,29.447,0.925500044,380.5181762
2/18/2023,57.62,92.786,26.7135,1.29300006,430.0334538
2/19/2023,57.172,92.89,25.119,1.75900008,397.8612714
2/20/2023,59.577,92.348,34.4775,1.3093334,355.9656701
2/21/2023,58.519,92.779,34.6555,1.31100006,329.7255109
2/22/2023,61.147,90.457,32.713,-9999,267.0467975
2/23/2023,57.336,91.593,29.1205,1.15300005,369.5775505
2/24/2023,58.563,92.368,29.907,1.07750005,426.8775166
2/25/2023,58.596,92.239,14.6055,-9999,415.5680403
2/26/2023,63.123,88.635,31.2375,-9999,315.7279551
2/27/2023,56.42,91.569,22.1375,1.04600005,381.0746876
2/28/2023,64.225,88.719,22.2965,1.00200005,329.4058404
3/1/2023,59.069,91.054,21.177,0.821000039,391.6729941
3/2/2023,56.707,91.717,20.0835,0.484000023,442.2443492
