time_stamp,H,T,PM,AOD,PBLH
1/1/2023,48.005,82,1662.432,0.170009362,586.5370624
1/2/2023,38.64,83.045,1662.384,0.435000021,527.6298958
1/3/2023,32.332,83.462,1663.1195,0.215059638,562.0447437
1/4/2023,30.844,81.732,1665.8775,0.290395703,531.4304802
1/5/2023,33.21,82.188,1665.7585,0.485000023,611.7073273
1/6/2023,34.707,81.257,1664.706,0.360551071,572.2971662
1/7/2023,41.529,79.121,1665.4295,0.250000012,637.004707
1/8/2023,44.128,79.424,1665.7965,0.081473113,664.6885179
1/9/2023,50.434,78.909,1666.8905,0.222387126,557.0948287
1/10/2023,43.524,80.679,1665.9675,0.110498057,518.5510163
1/11/2023,33.719,83.724,1662.576,0.254850883,686.6952862
1/12/2023,38.49,80.864,1664.6875,0.203935062,672.6838942
1/13/2023,44.816,78.234,1664.7415,0.295642264,601.6607098
1/14/2023,32.686,80.441,1664.3155,0.242049117,477.7668036
1/15/2023,37.3,81.275,1664.1395,0.071650574,474.3967453
1/16/2023,32.581,80.306,1664.7735,0.325000015,342.1427641
1/17/2023,30.342,82.633,1664.261,0.304000014,412.4743829
1/18/2023,33.064,85.064,1658.21,0.177817363,582.4111244
1/19/2023,39.922,81.687,1664.4285,0.148499617,558.317553
1/20/2023,51.174,78.258,1664.204,0.196023393,728.540303
1/21/2023,47.51,77.182,1663.882,0.086531572,1071.974516
1/22/2023,44.373,75.109,1665.334,0.280002352,1205.745554
1/23/2023,42.922,76.116,1665.142,0.23138245,1232.477516
1/24/2023,45.277,75.478,1664.6485,0.068484804,1009.772955
1/25/2023,46.066,75.241,1663.959,-9999,802.976674
1/26/2023,52.021,74.442,1664.044,0.18754171,537.818761
1/27/2023,49.349,79.011,1664.6915,0.196716561,386.2107785
1/28/2023,39.248,83.32,1661.252,0.170515207,440.3412998
1/29/2023,50.103,78.456,1664.536,0.329049121,656.4843099
1/30/2023,49.368,76.803,1663.9475,0.151000007,789.2475074
1/31/2023,50.669,77.754,1663.805,-9999,701.5291418
2/1/2023,52.159,77.173,1664.2665,0.153964153,672.7292924
2/2/2023,45.904,81.418,1663.8315,0.123483248,666.4038125
2/3/2023,49.074,78.843,1664.5085,0.19128034,631.6446951
2/4/2023,45.396,78.197,1666.624,0.503000024,607.5397742
2/5/2023,37.19,78.248,1667.5635,0.235610294,708.3161699
2/6/2023,45.778,76.086,1665.3475,0.238422465,940.5407291
2/7/2023,38.852,77.949,1661.644,0.147000007,1053.17286
2/8/2023,,,,0.443978976,844.392678
2/9/2023,53.184,77.467,1664.327,0.422298541,604.3104503
2/10/2023,,,,0.256349714,698.6312246
2/11/2023,,,,-9999,717.6598722
2/12/2023,,,,0.487000023,583.0739378
2/13/2023,,,,0.164000008,517.3298052
2/14/2023,,,,0.304000014,627.2955494
2/15/2023,,,,0.274359848,631.9057347
2/16/2023,,,,0.285063978,573.4903818
2/17/2023,,,,0.437809581,548.625798
2/18/2023,,,,0.414533926,475.9667658
2/19/2023,,,,0.561334792,423.0271901
2/20/2023,,,,0.83658986,430.1948063
2/21/2023,33.655,85.521,1657.977,0.689728783,501.0379113
2/22/2023,40.007,83.437,1654.9355,0.705253083,442.33201
2/23/2023,48.742,80.376,1664.846,0.769392881,461.3447683
2/24/2023,51.423,77.494,1665.639,0.651554203,534.6968794
2/25/2023,56.366,76.555,1665.3225,0.605645926,477.8545734
2/26/2023,53.826,76.977,1664.0895,0.293745922,484.1217924
2/27/2023,49.636,77.025,1665.303,0.144086526,637.1908396
2/28/2023,35.106,83.114,1661.783,0.038067814,576.9323205
3/1/2023,33.739,81.994,1656.02,0.27988518,477.3627598
3/2/2023,34.634,84.032,1648.0515,0.182000009,347.0102058
3/3/2023,38.172,82.392,1654.56,0.201800216,341.9157732
3/4/2023,29.58,82.577,1647.939,0.089508189,406.2881241
3/5/2023,32.718,80.895,1660.423,0.216279344,390.5273889
3/6/2023,39.989,80.076,1662.234,0.105037419,357.4003362
3/7/2023,45.865,82.032,1656.9775,0.035496494,276.9335734
3/8/2023,37.43,85.115,1645.4125,0.188884396,252.3557548
3/9/2023,22.808,90.553,1620.7945,0.079615753,255.8960563
3/10/2023,28.949,87.193,1639.4945,0.08100624,314.9265546
3/11/2023,28.268,86.445,1636.5235,0.121043655,347.6646962
3/12/2023,27.308,86.465,1640.912,0.23236764,307.71808
3/13/2023,24.267,87.506,1638.589,0.348000017,282.4138905
3/14/2023,29.107,86.219,1639.8065,0.064533909,257.1051612
3/15/2023,50.749,80.664,1660.4185,0.375516776,409.8753371
3/16/2023,53.151,79.845,1660.6305,0.284000013,479.0054173
3/17/2023,50.821,79.47,1663.285,0.301994558,546.2030484
3/18/2023,50.4,80.198,1659.2085,0.378569049,515.370117
3/19/2023,51.08,80.977,1658.3895,0.378839197,469.5247639
3/20/2023,53.874,80.888,1658.291,0.35096728,438.8666155
3/21/2023,52.443,79.61,1661.4185,0.127897118,550.5756499
3/22/2023,47.715,79.483,1660.6675,0.137045215,746.1547972
3/23/2023,44.956,77.641,1662.4915,0.025000001,866.6324903
3/24/2023,45.023,78.644,1657.299,0.166599642,1025.433814
3/25/2023,40.074,79.833,1657.8165,0.128766959,671.7721474
3/26/2023,44.343,79.01,1654.086,0.141670571,591.9492822
3/27/2023,52.985,76.702,1664.2635,0.230946229,365.5621725
3/28/2023,41.52,84.931,1637.2625,0.110070156,273.9145944
3/29/2023,23.728,89.138,1623.7185,0.145508971,276.4470562
3/30/2023,40.044,84.637,1645.3125,0.062597045,360.8188192
3/31/2023,40.504,83.783,1646.2475,0.328854004,211.8287985
4/1/2023,30.181,89.268,1623.8115,0.646769524,220.3704663
4/2/2023,19.088,91.996,1622.9035,0.377954556,254.9941458
4/3/2023,45.724,84.397,1650.7385,0.776070188,243.6521669
4/4/2023,50.387,83.943,1652.5575,0.380000018,343.5659971
4/5/2023,51.712,83.332,1658.539,0.49465941,495.5961826
4/6/2023,44.938,82.915,1656.842,0.433000021,497.3311498
4/7/2023,51.167,81.981,1657.4715,0.424284248,480.9999108
4/8/2023,49.501,81.619,1658.552,0.355000017,594.6519873
4/9/2023,48.275,80.87,1659.475,0.161734487,739.7407909
4/10/2023,43.554,79.86,1660.005,0.070030402,919.4805129
4/11/2023,43.985,79.592,1660.788,-9999,898.910597
4/12/2023,45.219,80.952,1654.3335,0.198012734,643.8817748
4/13/2023,46.796,83.267,1654.265,0.358000017,401.6643194
4/14/2023,49.131,85.887,1642.2715,0.439984432,278.4218771
4/15/2023,43.377,88.991,1631.7395,0.397440445,295.8010575
4/16/2023,41.077,88.985,1633.0425,0.344775281,323.4258507
4/17/2023,48.687,85.549,1651.386,0.438976637,419.6268664
4/18/2023,53.265,83.548,1653.2715,-9999,540.1333116
4/19/2023,49.674,82.741,1653.967,0.289296196,598.6878856
4/20/2023,48.642,82.496,1654.226,-9999,665.6547425
4/21/2023,49.676,81.888,1660.135,0.288792689,605.9228423
4/22/2023,50.365,82.001,1656.733,0.180031162,598.6334077
4/23/2023,52.372,82.306,1654.3965,0.160854776,541.4982835
4/24/2023,51.769,82.393,1655.8865,0.220044439,500.2222573
4/25/2023,49.619,82.547,1653.899,0.170000008,525.3925222
4/26/2023,49.033,82.287,1651.0475,0.182894529,549.3476291
4/27/2023,49.706,81.829,1653.3425,0.093000004,539.4969804
4/28/2023,50.382,82.884,1648.7555,0.127019492,507.6554528
4/29/2023,51.243,83.268,1648.856,0.186294148,395.3464058
4/30/2023,47.746,85.039,1637.9465,0.172694735,349.4579244
5/1/2023,38.294,86.46,1638.26,0.303484815,320.1655047
5/2/2023,53.045,83.653,1648.354,0.187000009,290.3078776
5/3/2023,40.335,87.398,1632.7115,0.307847768,407.7454057
5/4/2023,38.916,88.886,1626.925,0.185000009,450.7881779
5/5/2023,37.429,89.93,1625.655,0.301132775,523.8694132
5/6/2023,48.357,84.249,1650.6565,0.347469618,569.973536
5/7/2023,49.487,82.781,1656.6885,0.252667458,627.4748722
5/8/2023,51.101,82.603,1654.3865,0.371002356,523.4933649
5/9/2023,50.218,83.492,1652.1485,0.289000014,389.6163987
5/10/2023,51.892,83.981,1648.216,0.28918188,343.851249
5/11/2023,51.033,83.78,1650.4855,0.190000009,410.6047345
5/12/2023,51.869,83.335,1649.2915,0.254300608,406.2805578
5/13/2023,50.002,83.79,1648.5015,0.429016389,457.6531395
5/14/2023,51.897,82.315,1661.4545,0.28865265,518.3595873
5/15/2023,49.391,84.089,1651.573,0.351077182,523.2315687
5/16/2023,48.773,83.786,1650.9375,0.266000013,628.8231982
5/17/2023,48.973,84.264,1652.0985,0.281823604,589.3782319
5/18/2023,52.023,83.333,1655.6035,-9999,520.5757751
5/19/2023,52.106,83.974,1652.0765,0.302512875,444.9128966
5/20/2023,51.878,84.714,1650.977,0.348867256,437.9442758
5/21/2023,52.78,84.046,1653.4845,0.385356735,464.7670345
5/22/2023,51.425,83.462,1659.657,0.534000025,562.6462696
5/23/2023,50.877,83.896,1653.374,-9999,531.0029807
5/24/2023,53.148,83.192,1659.424,0.374000018,485.3634326
5/25/2023,55.267,83.807,1659.8975,-9999,388.8643022
5/26/2023,50.976,86.296,1643.562,0.41150002,421.3164353
5/27/2023,47.703,87.386,1640.8615,0.645000031,527.284113
5/28/2023,46.247,88.056,1637.015,0.426507822,464.1004378
5/29/2023,40.088,89.566,1632.0165,0.596993013,492.8140308
5/30/2023,37.425,90.994,1625.577,-9999,467.5620492
5/31/2023,37.708,90.054,1630.1025,0.468465337,477.7569674
6/1/2023,43.203,86.478,1646.3065,-9999,479.280833
6/2/2023,48.217,84.991,1646.5455,0.302409734,428.0285564
6/3/2023,50.183,83.927,1651.1425,0.282386875,466.8992357
6/4/2023,48.775,84.836,1645.2425,0.102285665,443.6243449
6/5/2023,50.552,85.286,1644.8265,0.476000023,375.0087773
6/6/2023,50.701,86.048,1638.369,-9999,353.4325351
6/7/2023,52.009,86.105,1640.037,0.211634719,346.7378167
6/8/2023,53.287,86.092,1640.892,-9999,336.9802343
6/9/2023,49.967,86.873,1640.1515,0.142352826,456.7126405
6/10/2023,46.953,88.842,1628.013,0.23634036,444.0889196
6/11/2023,42.001,90.697,1619.349,0.182482471,459.0400539
6/12/2023,40.463,91.939,1615.0395,0.388592384,471.9316241
6/13/2023,47.944,88.572,1633.055,-9999,467.5681022
6/14/2023,49.974,86.33,1640.6035,0.269822044,533.9977474
6/15/2023,48.475,85.688,1645.193,-9999,623.1976069
6/16/2023,49.66,86.978,1641.6875,0.200814246,493.9376357
6/17/2023,53.283,87.142,1642.793,0.583364793,302.0697897
6/18/2023,53.349,87.143,1642.756,0.441052634,332.4986772
6/19/2023,51.383,87.294,1643.742,0.592788815,406.1436066
6/20/2023,51.413,87.274,1643.6425,-9999,322.7857363
6/21/2023,52.178,86.523,1646.185,0.568010939,452.2515126
6/22/2023,49.008,86.896,1644.9305,0.553000026,558.8865435
6/23/2023,52.726,86.724,1648.442,0.597556792,424.0274634
6/24/2023,55.81,86.835,1646.931,0.775063172,358.2803042
6/25/2023,50.01,86.718,1643.773,0.525004702,622.729249
6/26/2023,48.574,86.777,1644.7915,0.572086546,603.1210179
6/27/2023,48.344,85.685,1646.6015,-9999,511.4340947
6/28/2023,50.999,85.932,1650.3245,0.367603548,577.0011744
6/29/2023,48.274,87.599,1637.9715,0.500904151,630.176064
6/30/2023,51.226,87.987,1639.226,0.470771643,367.6565419
7/1/2023,54.105,84.855,1670.713,1.27065141,412.4705997
7/2/2023,48.193,86.493,1647.8965,0.442606416,645.8891311
7/3/2023,44.893,87.541,1640.144,0.437605418,703.6658829
7/4/2023,50.12,89.061,1630.2245,-9999,386.3719421
7/5/2023,47.802,91.615,1612.6865,0.509096624,302.8052402
7/6/2023,50.768,88.496,1628.9445,0.989706992,654.9195859
7/7/2023,48.134,90.349,1627.785,0.544212544,572.7670374
7/8/2023,52.028,89.245,1633.138,0.57995635,444.9552682
7/9/2023,49.109,90.735,1621.8425,0.416438053,460.1258271
7/10/2023,47.206,89.664,1619.588,0.488981316,645.5115695
7/11/2023,57,82,1662.98,-9999,537.4169871
7/12/2023,52.761,87.073,1647.248,0.478250734,567.5742421
7/13/2023,51.936,89.583,1628.3175,0.181964182,400.5437409
7/14/2023,56.142,87.936,1644.7395,0.557778408,295.7163142
7/15/2023,56.263,88.224,1635.4255,0.811360906,440.8149541
7/16/2023,53.952,88.724,1635.7955,0.309000015,392.8434528
7/17/2023,49.804,86.764,1651.3475,0.607673067,571.9861887
7/18/2023,44.839,87.565,1636.34,-9999,870.6978974
7/19/2023,49.806,87.56,1641.221,0.336349981,681.4744953
7/20/2023,55.666,87.303,1644.738,0.33857426,456.0324244
7/21/2023,48.748,90.99,1615.842,0.410757356,429.5168601
7/22/2023,51.266,89.121,1633.8585,0.454223715,617.7664712
7/23/2023,46.039,88.696,1633.0795,-9999,717.9269649
7/24/2023,49.516,88.266,1638.7835,0.549061099,502.9650641
7/25/2023,51.839,88.581,1636.372,-9999,534.5183132
7/26/2023,53.118,89.218,1635.878,0.38815257,475.3599434
7/27/2023,53.524,90.361,1623.749,-9999,390.1248584
7/28/2023,49.998,89.019,1634.0335,0.49409044,614.6778816
7/29/2023,45.752,89.274,1625.896,0.740468579,776.3733399
7/30/2023,49.415,88.468,1638.224,-9999,563.2152601
7/31/2023,54.015,88.171,1638.7775,0.338833213,477.3710828
8/1/2023,60.194,85.486,1651.547,-9999,444.0253622
8/2/2023,50.777,88.805,1635.51,0.419483262,420.1678614
8/3/2023,49.894,89.389,1629.6135,0.439747098,523.6787408
8/4/2023,54.927,88.818,1636.032,0.275238253,490.995077
8/5/2023,53.74,88.868,1640.046,0.926180858,464.320619
8/6/2023,49.645,90.024,1619.64,-9999,506.7996971
8/7/2023,50.037,89.801,1624.9795,0.402845434,487.1203422
8/8/2023,45.977,90.459,1619.0235,0.172580682,675.5507893
8/9/2023,44.649,90.285,1619.0875,0.259174863,793.7873255
8/10/2023,47.441,87.619,1624.2115,0.429298541,872.9973152
8/11/2023,47.899,87.335,1629.734,0.443651225,717.0250543
8/12/2023,48.41,88.957,1614.2905,1.02382935,622.1610151
8/13/2023,61.065,85.24,1650.747,-9999,582.6063365
8/14/2023,60.041,87.497,1629.162,0.197853472,444.8743081
8/15/2023,56.199,89.232,1623.3785,-9999,419.4936984
8/16/2023,58.142,88.353,1630.362,0.388432206,415.6537689
8/17/2023,,,,0.247000012,450.1775723
8/18/2023,,,,0.132230715,547.1919721
8/19/2023,,,,0.285510536,609.3594847
8/20/2023,96.289,83.08,1609.1565,-9999,614.6339967
8/21/2023,96.768,-162.004,1640.442,0.202125755,531.7543206
8/22/2023,97.044,-230,1639.203,-9999,502.2106976
8/23/2023,66.903,-230,1534.248,0.241511314,491.4059305
8/24/2023,88.381,-230,1557.49,0.398024182,556.7369397
8/25/2023,89.379,-230,1617.5845,0.524971965,584.6855732
8/26/2023,93.024,-230,1616.7735,0.384990665,600.6294144
8/27/2023,94.393,-230,1626.756,-9999,558.1056948
8/28/2023,99.308,-230,1649.052,0.951549443,649.6170784
8/29/2023,87.94,-230,1629.196,-9999,543.7205245
8/30/2023,65.473,-230,1264.8265,-9999,487.0068468
8/31/2023,77.935,-230,1648.316,0.405858685,620.8300918
9/1/2023,95.567,-230,1630.311,-9999,633.5786576
9/2/2023,99.093,-230,1631.278,0.269304744,512.3080097
9/3/2023,87.965,-230,1581.331,0.44957368,547.3009277
9/4/2023,90.848,-230,1604.3315,0.464285029,447.7926546
9/5/2023,94.454,-230,1618.557,-9999,562.2747611
9/6/2023,87.545,-230,1624.8775,0.296925713,820.9868891
9/7/2023,84.325,-230,1441.585,0.104009358,712.290024
9/8/2023,100,-230,1647.18,0.224414661,596.9748609
9/9/2023,100,-230,1616.995,0.147500007,497.1677163
9/10/2023,100,-230,1625.577,-9999,494.9197497
9/11/2023,99.353,-230,1627.172,0.255767482,492.8223538
9/12/2023,100,-230,1632.35,-9999,535.330184
9/13/2023,95.765,-230,1605.795,0.185755007,528.1935899
9/14/2023,99.394,-230,1626.3715,0.444000021,494.8289534
9/15/2023,97.02,-230,1622.3125,0.743004712,594.1503374
9/16/2023,94.956,-230,1632.1725,0.723046022,757.601192
9/17/2023,91.779,-230,1628.8305,-9999,837.6790436
9/18/2023,90.902,-230,1626.876,0.463662791,852.203435
9/19/2023,92.924,-230,1624.9365,0.660000031,584.875489
9/20/2023,94.16,-230,1619.3695,0.625047576,593.0168961
9/21/2023,99.921,-230,1651.9165,0.325533922,549.6782791
9/22/2023,97.625,-230,1621.542,-9999,493.3081143
9/23/2023,95.696,-230,1620.1995,0.510258277,527.7327984
9/24/2023,88.622,-230,1705.911,0.160000008,755.9093531
9/25/2023,90.952,-230,1798.417,0.289500014,584.3367639
9/26/2023,87.841,-230,1899.2095,0.313496507,581.3336742
9/27/2023,93.45,-230,2044.987,0.49756277,615.7023672
9/28/2023,90.793,-230,2069.049,0.284000013,663.0821789
9/29/2023,95.221,-230,1964.475,0.20700001,554.799194
9/30/2023,95.752,-230,1974.09,0.328260606,425.2426214
10/1/2023,93.297,-230,2013.826,-9999,640.7909153
10/2/2023,95.111,-230,1963.07,0.421958709,467.2351823
