time_stamp,H,T,PM,AOD,PBLH
1/1/2023,50.514,93.622,49.7125,0.651875588,410.9000049
1/2/2023,50.863,93.198,80.3485,0.481000023,407.1371744
1/3/2023,49.999,93.24,70.94,0.633789238,437.6619858
1/4/2023,,,,0.615090955,452.4818493
1/5/2023,50.084,92.758,60.541,0.956761251,421.3816517
1/6/2023,55.947,90.821,53.3205,0.817292603,421.180348
1/7/2023,56.973,90.744,56.2455,0.737083859,441.9570078
1/8/2023,56.518,91.634,51.1055,0.663053744,385.4542405
1/9/2023,57.8,90.65,52.3575,0.42600002,368.9122931
1/10/2023,59.06,90.404,51.749,-9999,371.8144892
1/11/2023,58.068,90.558,50.6625,-9999,370.8748004
1/12/2023,57.372,90.301,57.2905,0.809776707,430.0833501
1/13/2023,55.589,91.629,56.3955,0.392285565,435.9195271
1/14/2023,58.982,90.35,54.4305,0.450000021,363.6091226
1/15/2023,,,,0.735528716,408.0678983
1/16/2023,56.713,91.167,56.199,0.623030847,483.9104898
1/17/2023,59.057,90.113,56.2715,0.712000034,411.1119035
1/18/2023,58.167,91.164,60.0325,-9999,419.4680441
1/19/2023,59.473,90.642,65.034,-9999,407.9016394
1/20/2023,59.61,90.26,55.8715,-9999,403.0320461
1/21/2023,57.763,90.932,51.6475,-9999,402.7867327
1/22/2023,58.161,90.456,49.0165,-9999,390.757411
1/23/2023,58.283,90.844,47.58,0.520522909,426.7598017
1/24/2023,57.674,91.416,44.8845,0.618052114,426.9488805
1/25/2023,58.171,91.308,48.4365,-9999,414.5862259
1/26/2023,58.403,91.815,45.651,0.567782217,444.843719
1/27/2023,58.848,90.827,47.1945,-9999,439.7540771
1/28/2023,59.203,89.387,39.1785,0.713698168,407.961949
1/29/2023,67.55,84.538,47.774,0.666000439,399.1086616
1/30/2023,,,,-9999,356.032117
1/31/2023,,,,0.482765126,370.321419
2/1/2023,,,,0.587000028,451.9455828
2/2/2023,,,,0.647663985,392.7981577
2/3/2023,,,,0.593341225,434.3286574
2/4/2023,,,,0.830000039,353.7387219
2/5/2023,,,,0.850058013,461.1672478
2/6/2023,54.756,92.774,31.3665,0.519554641,455.5454144
2/7/2023,59.708,90.463,37.232,0.628530237,428.0515683
2/8/2023,57.542,90.87,43.5325,0.601000029,426.8070714
2/9/2023,57.3,91.371,53.616,0.969589447,429.8274417
2/10/2023,59.309,90.742,56.934,0.633021999,410.0947901
2/11/2023,53.807,93.924,43.8795,0.797500038,464.2658576
2/12/2023,56.153,92.7,55.3365,0.719255374,487.0009497
2/13/2023,51.872,93.534,49.8355,0.941692076,497.3236725
2/14/2023,67.762,86.462,112.506,0.985313713,457.289503
2/15/2023,48.923,95.133,55.771,0.779000037,446.3710191
2/16/2023,59.003,89.955,132.085,1.37830819,405.9953668
2/17/2023,53.96,93.377,94.399,1.65600008,420.8323453
2/18/2023,55.331,92.954,116.6035,1.43232101,474.4215065
2/19/2023,51.288,94.395,55.267,1.5397365,447.1395591
2/20/2023,54.131,93.253,71.025,2.03715723,475.4671447
2/21/2023,51.492,95.892,104.7045,1.74490676,464.4965011
2/22/2023,61.55,87.4,77.2435,-9999,446.5160881
2/23/2023,44.525,100.108,67.4305,-9999,476.1770051
2/24/2023,50.944,96.035,54.4605,-9999,457.9765436
2/25/2023,56.626,92.748,72.6815,-9999,396.6253728
2/26/2023,54.035,93.692,56.6005,-9999,449.2935901
2/27/2023,53.956,92.972,163.9995,0.723000034,452.1224367
2/28/2023,57.739,90.424,83.6245,-9999,432.8461821
3/1/2023,56.236,91.733,77.007,0.743045193,463.9724595
3/2/2023,55.275,92.91,67.1005,0.902666031,431.8364037
3/3/2023,52.504,91.96,86.5755,-9999,426.5071533
3/4/2023,54.163,88.672,76.9965,-9999,337.3100588
3/5/2023,57.06,91.642,88.0855,-9999,369.5968887
3/6/2023,64.387,85.085,45.9375,-9999,271.4275175
3/7/2023,56.897,90.581,49.5545,0.598981111,423.7410613
3/8/2023,58.853,91.947,32.008,-9999,400.9652196
3/9/2023,58.598,90.873,30.3965,-9999,360.6947016
3/10/2023,65.004,83.611,43.383,-9999,318.684985
3/11/2023,59.11,85.598,45.3225,-9999,242.8195737
3/12/2023,54.702,91.194,34.725,0.402510088,423.2162048
3/13/2023,54.529,91.362,26.419,0.482500023,420.9505195
3/14/2023,57.96,91.999,37.8025,0.440000021,386.6799925
3/15/2023,60.133,88.748,45.307,-9999,270.6214878
3/16/2023,,,,-9999,301.9205441
3/17/2023,36.383,103.696,42.56,-9999,526.2209395
3/18/2023,,,,-9999,399.666118
3/19/2023,,,,-9999,330.9319103
3/20/2023,,,,0.322500015,407.9521691
3/21/2023,,,,-9999,233.2996206
3/22/2023,,,,0.156500007,395.0467281
3/23/2023,,,,0.140758703,402.735388
3/24/2023,,,,-9999,202.4145816
3/25/2023,,,,0.284496047,428.256947
3/26/2023,,,,0.096996953,336.8903365
3/27/2023,48.251,93.837,14.5435,0.296325348,384.305098
3/28/2023,53.826,90.665,23.564,0.818500039,332.4535054
3/29/2023,63.992,85.108,47.2225,-9999,401.9097984
3/30/2023,,,,0.619723942,407.5544517
3/31/2023,50.657,94.082,34.484,-9999,290.2864948
4/1/2023,55.008,91.21,25.1865,0.657255066,354.6816707
4/2/2023,54.72,91.665,24.9825,0.42900002,354.942469
4/3/2023,62.665,85.045,31.3545,-9999,214.5946773
4/4/2023,54.507,90.598,30.89,-9999,346.0207221
4/5/2023,53.465,92.262,25.6255,0.387545481,449.9920405
4/6/2023,59.513,90.122,25.2095,-9999,291.1259393
4/7/2023,56.906,90.373,21.9205,-9999,432.40038
4/8/2023,57.09,91.982,26.3645,0.484481411,332.7778733
4/9/2023,62.71,84.287,16.851,-9999,229.8375232
4/10/2023,56.874,90.48,24.04,0.29550215,380.4273532
4/11/2023,61.408,84.904,740.858,-9999,272.6402296
4/12/2023,53.735,89.756,1683.1995,0.389257494,415.8698426
4/13/2023,51.825,93.265,1680.1055,0.528919473,392.9978314
4/14/2023,59.457,87.57,395.039,-9999,272.57992
4/15/2023,52.779,91.775,24.783,0.515853566,413.6962517
4/16/2023,59.888,88.273,19.6955,-9999,357.5072574
4/17/2023,53.476,90.733,15.2505,0.2437523,410.6709914
4/18/2023,55.448,91.427,16.2315,-9999,447.2267635
4/19/2023,,,,-9999,235.0469693
4/20/2023,,,,0.298022801,412.2357812
4/21/2023,,,,-9999,304.0745751
4/22/2023,,,,0.518436865,412.1477618
4/23/2023,,,,0.343499711,353.3279645
4/24/2023,,,,0.223325884,401.4786662
4/25/2023,,,,-9999,255.1463685
4/26/2023,,,,0.317020763,401.5438658
4/27/2023,,,,-9999,222.0103141
4/28/2023,42.138,99.442,15.9245,-9999,370.6050371
4/29/2023,,,,-9999,334.359778
4/30/2023,,,,0.444395365,335.2407872
5/1/2023,,,,0.292000014,198.9443342
5/2/2023,,,,-9999,229.5294552
5/3/2023,,,,0.089011599,395.5569147
5/4/2023,,,,0.173000008,319.3483907
5/5/2023,,,,-9999,350.9318801
5/6/2023,52.263,92.114,30.128,0.268000013,259.8480729
5/7/2023,61.266,87.359,23.4545,-9999,312.8333231
5/8/2023,63.371,84.574,13.1415,0.167290131,417.1363443
5/9/2023,,,,0.224323442,362.1861419
5/10/2023,,,,-9999,286.5489291
5/11/2023,,,,0.220750773,387.827505
5/12/2023,,,,-9999,413.2561546
5/13/2023,,,,-9999,430.6049467
5/14/2023,,,,-9999,311.4201223
5/15/2023,,,,-9999,314.5920816
5/16/2023,,,,0.29052717,383.3328093
5/17/2023,61.289,87.189,18.697,-9999,336.1715112
5/18/2023,55.932,90.922,20.5005,0.173744058,330.5268579
5/19/2023,56.309,92.976,26.142,-9999,365.6955091
5/20/2023,63.001,89.049,18.8745,-9999,288.7526748
5/21/2023,71.167,85.933,10.4455,-9999,356.2823203
5/22/2023,,,,0.180000009,310.7428617
5/23/2023,,,,0.346990253,413.7932361
5/24/2023,,,,-9999,417.1061895
5/25/2023,55.002,93.324,18.9535,0.388000018,333.2432352
5/26/2023,57.337,92.206,20.7855,-9999,361.4950264
5/27/2023,58.632,89.679,16.8215,-9999,268.9222238
5/28/2023,59.537,89.684,15.59,-9999,308.5546009
5/29/2023,56.408,88.522,17.127,0.138233072,351.0663543
5/30/2023,58.252,90.472,22.761,0.322519238,318.2986775
5/31/2023,62.317,88.204,24.86,-9999,282.420981
6/1/2023,58.838,89.819,21.771,0.247272133,288.71437
6/2/2023,60.852,89.226,21.5495,-9999,270.3207547
6/3/2023,62.668,86.725,19.1385,0.127000006,324.4804123
6/4/2023,62.51,88.041,19.13,0.238000011,241.4723874
6/5/2023,59.745,89.546,12.91,-9999,276.6059938
6/6/2023,59.23,88.636,16.1195,-9999,282.9588775
6/7/2023,62.75,87.501,20.246,-9999,234.5400426
6/8/2023,64.05,85.759,19.996,-9999,296.3598353
6/9/2023,59.205,88.667,21.725,-9999,268.8562092
6/10/2023,63.641,87.289,36.159,0.127996955,263.1023467
6/11/2023,60.705,89.011,25.347,0.164000008,252.8366735
6/12/2023,61.401,87.555,20.18,0.156000007,308.9246085
6/13/2023,59.723,88.146,26.9945,0.262000012,269.9988318
6/14/2023,56.158,90.5,23.93,-9999,294.7746706
6/15/2023,60.504,87.784,26.281,0.205502146,227.406394
6/16/2023,57.16,89.979,14.538,-9999,312.377741
