time_stamp,H,T,PM,AOD,PBLH
1/1/2021,99.949,76.975,2.209,0.151778689,496.6888583
1/2/2021,98.864,76.571,0.968,0.13498133,479.284045
1/3/2021,96.221,77.23,1.5875,0.118504008,426.861432
1/4/2021,89.111,78.469,0.8025,0.197257518,336.5848769
1/5/2021,87.91,78.265,0.2745,0.261500012,314.1013299
1/6/2021,91.797,79.989,0.2035,0.182005345,226.1009146
1/7/2021,98.116,78.358,1.1885,0.124004008,306.964092
1/8/2021,99.273,77.59,0.35,0.114002673,592.837269
1/9/2021,94.929,76.112,0.2145,-9999,1023.776937
1/10/2021,88.757,74.228,0.2735,0.226372075,1327.657941
1/11/2021,95.063,71.168,0.955,0.163000008,1260.806013
1/12/2021,93.807,73.418,0.8145,0.284752728,1110.848316
1/13/2021,94.901,73.554,0.555,0.285572051,907.7092926
1/14/2021,97.94,73.894,1.8335,0.339519687,766.4836799
1/15/2021,96.761,74.235,4.056,-9999,705.3909185
1/16/2021,94.325,73.697,3.593,-9999,746.5661666
1/17/2021,93.721,75.228,7.2155,0.362281367,675.7348645
1/18/2021,95.858,74.798,9.632,-9999,581.3808709
1/19/2021,94.393,74.53,10.4745,-9999,666.051378
1/20/2021,94.672,75.317,4.7035,0.293120077,655.6530493
1/21/2021,96.81,74.603,2.5275,0.247029361,623.9152652
1/22/2021,96.344,76.083,4.384,-9999,545.9467252
1/23/2021,96.151,76.65,5.195,0.432841574,506.2381507
1/24/2021,94.464,76.368,2.2045,0.15822266,524.6184525
1/25/2021,100,71,1.8165,-9999,523.8623199
1/26/2021,84.408,86.65,1.818,0.12327602,432.6773734
1/27/2021,94.656,79.75,2.8495,0.09727335,419.4394615
1/28/2021,96.267,75.951,4.5665,0.191232,432.7599544
1/29/2021,93.258,77.296,4.956,0.270564047,414.8433107
1/30/2021,96.693,77.106,3.205,0.373158768,532.1539719
1/31/2021,97.174,77.043,3.068,0.200000009,522.1694086
2/1/2021,100,75.404,2.995,-9999,467.306354
2/2/2021,99.692,74.601,2.48,0.288528028,445.945393
2/3/2021,99.992,74.067,2.547,-9999,450.1243375
2/4/2021,99.996,73.834,1.431,0.235000011,576.9860114
2/5/2021,94.423,73.987,0.0725,0.185725461,1069.150055
2/6/2021,95.926,72.852,0.1165,0.188013349,1240.692369
2/7/2021,95.439,73.209,0.338,0.106000005,1083.842597
2/8/2021,98.326,73.314,1.0135,0.256000012,841.421668
2/9/2021,98.843,73.495,0.7675,0.171548033,711.615464
2/10/2021,99.773,73.359,0.8785,-9999,577.0728936
2/11/2021,99.431,74.732,1.329,0.192218659,544.5806972
2/12/2021,97.843,74.59,1.5355,0.17838014,598.5147152
2/13/2021,99.886,73.133,1.756,0.177792031,644.1114895
2/14/2021,99.998,73.228,3.477,0.279056882,596.3366404
2/15/2021,100,73.287,5.6185,0.344000016,465.182473
2/16/2021,94.621,77.226,19.449,0.489000023,351.5010763
2/17/2021,96.314,76.05,55.0835,-9999,318.5641467
2/18/2021,97.143,74.306,35.5,1.30404955,415.8265412
2/19/2021,98.011,73.602,21.4115,-9999,445.8610915
2/20/2021,98.375,73.685,17.642,0.443577395,452.8254255
2/21/2021,98.69,73.069,8.825,0.155960118,541.9346632
2/22/2021,99.815,74.036,1.138,0.124017348,574.9421308
2/23/2021,98.496,74.689,1.7625,0.223165431,468.5872203
2/24/2021,99.969,74.465,1.832,-9999,438.5328849
2/25/2021,100,74.104,3.547,-9999,470.2457227
2/26/2021,94.106,75.915,9.956,-9999,541.509715
2/27/2021,98.997,73.087,6.0575,0.374033369,736.2822471
2/28/2021,93.383,72.099,1.662,0.109578713,910.6667259
3/1/2021,92.002,73.203,0.121,0.088020015,979.637374
3/2/2021,98.816,73.693,1.3865,0.244301372,655.573049
3/3/2021,97.864,76.637,3.3745,0.285000014,504.5701858
3/4/2021,99.943,73.958,11.558,-9999,607.7362641
3/5/2021,99.989,72.91,7.672,-9999,644.6104166
3/6/2021,99.692,73.567,6.1265,0.195536028,639.0534011
3/7/2021,99.225,73.099,2.7965,-9999,726.7501591
3/8/2021,98.418,72.779,4.065,0.366269361,832.7704443
3/9/2021,97.078,73.897,1.294,0.263781494,841.7150027
3/10/2021,97.976,73.46,1.4105,0.275660097,774.4192012
3/11/2021,99.999,72.456,5.5655,-9999,709.526852
3/12/2021,94.66,75.668,12.9885,-9999,479.6066271
3/13/2021,95.906,76.139,11.114,0.695787921,336.2708969
3/14/2021,85.12,76.689,7.215,-9999,297.1059809
3/15/2021,93.722,76.036,5.906,0.234566713,342.5633997
3/16/2021,97.197,75.414,4.4575,0.273000013,388.0922168
3/17/2021,98.571,75.008,4,0.231521356,409.4454358
3/18/2021,98.063,74.774,3.9295,0.256698075,386.1868314
3/19/2021,99.406,74.724,3.364,0.205471995,416.0837467
3/20/2021,97.331,74.633,2.736,-9999,491.3176501
3/21/2021,99.947,73.2,1.8185,-9999,506.8437449
3/22/2021,96.657,74.423,1.7625,0.1865467,554.0155804
3/23/2021,96.759,74.565,0.903,-9999,615.4636124
3/24/2021,97.246,74.914,1.0615,0.209304038,569.2947923
3/25/2021,99.64,73.457,0.665,0.310806711,611.5539165
3/26/2021,99.4,73.86,0.9595,0.353096067,710.1978229
3/27/2021,99.007,73.542,0.5225,0.335224134,744.5085224
3/28/2021,97.501,73.96,1.521,-9999,790.1190603
3/29/2021,97.815,73.954,2.521,0.333078724,738.5927956
3/30/2021,96.542,74.881,2.2565,-9999,643.6314872
3/31/2021,98.269,74.774,2.443,0.422351717,627.8086169
4/1/2021,99.601,75.256,1.833,-9999,550.2994339
4/2/2021,99.726,75.038,1.124,0.445510825,411.6863066
4/3/2021,99.156,77.015,1.986,0.82365599,378.4861499
4/4/2021,95.792,78.203,4.301,0.592954671,329.0545188
4/5/2021,100,76.296,5.2415,0.378000018,350.9445146
4/6/2021,99.95,76.489,4.14,-9999,378.9153993
4/7/2021,99.968,76.911,3.0015,0.425177315,369.4564299
4/8/2021,100,76.06,1.9455,-9999,408.2540323
4/9/2021,99.879,75.454,1.241,0.099443975,466.1665637
4/10/2021,100,76.171,1.0475,0.068355255,496.2690714
4/11/2021,99.897,77.34,1.4725,0.128518683,431.4008082
4/12/2021,97.769,78.379,1.2065,0.121018682,425.9255136
4/13/2021,99.04,78.075,1.2925,-9999,528.1487917
4/14/2021,99.544,78.121,1.6585,0.224425326,507.955148
4/15/2021,99.999,76.562,1.09,-9999,644.4435341
4/16/2021,100,74.453,0.754,0.226093393,756.2401907
4/17/2021,99.424,77.499,0.6275,-9999,685.8278154
4/18/2021,99.999,76.111,1.515,0.260760018,590.2772569
4/19/2021,99.993,76.137,2.831,0.341342828,518.7173493
4/20/2021,99.838,76.254,2.203,0.276040034,604.0226982
4/21/2021,99.893,76.226,2.547,-9999,631.5892799
4/22/2021,98.95,76.576,1.469,-9999,631.6589576
4/23/2021,98.974,76.501,0.6845,0.122057369,663.2212571
4/24/2021,98.322,77.111,0.737,-9999,736.7192384
4/25/2021,97.849,77.5,1.3145,0.158554703,873.3676252
4/26/2021,99.211,76.965,1.1545,0.32502494,731.5897518
4/27/2021,99.812,77.3,0.7305,0.423339277,650.1192598
4/28/2021,95.49,79.118,0.3615,0.233122742,617.5943751
4/29/2021,99.657,78.336,0.2665,-9999,629.9376592
4/30/2021,99.446,77.781,0.2195,0.200137415,745.696485
5/1/2021,99.176,78.247,0.4615,-9999,902.0628144
5/2/2021,95.606,77.843,0.719,0.172352062,997.4327268
5/3/2021,95.899,77.474,0.4795,-9999,1044.8308
5/4/2021,97.092,77.528,22.0145,0.2441054,930.7304765
5/5/2021,99.086,77.289,8.388,0.713003229,716.1496789
5/6/2021,98.714,77.558,5.0135,0.864813803,583.3180843
5/7/2021,99.176,78.213,3.6445,0.530000025,523.678233
5/8/2021,99.324,78.033,1.9075,-9999,717.8683967
5/9/2021,96.958,78.879,0.6215,0.213962789,902.6752904
5/10/2021,97.658,78.617,0.747,-9999,774.014038
5/11/2021,100,78.264,1.569,0.477492018,460.6104085
5/12/2021,100,78.476,3.3475,0.806402654,422.2575393
5/13/2021,100,78.767,3.738,0.414492015,427.2201433
5/14/2021,100,78.656,3.1975,0.866274589,445.1557119
5/15/2021,100,77.821,2.7385,-9999,503.9637313
5/16/2021,100,77.929,2.1875,-9999,439.1307372
5/17/2021,100,78.538,2.037,-9999,437.701053
5/18/2021,100,78.376,3.5675,0.494639441,385.6560762
5/19/2021,100,78.658,3.637,-9999,374.6323683
5/20/2021,99.844,79.853,2.8775,0.324849401,339.4373635
5/21/2021,98.31,79.79,1.978,0.250458788,487.6642996
5/22/2021,96.803,80.539,2.126,0.268000013,640.6757744
5/23/2021,97.103,82,2.6725,0.324000015,639.3871661
5/24/2021,100,78.872,4.394,-9999,687.3039514
5/25/2021,100,77.735,2.7855,0.318338096,552.6117028
5/26/2021,100,78.262,3.661,-9999,472.9313268
5/27/2021,99.965,78.249,4.6025,0.362421441,540.7174532
5/28/2021,99.337,78.775,1.4975,0.357797375,633.1806852
5/29/2021,99.874,78.75,1.0055,0.414310718,639.1635092
5/30/2021,100,77.989,1.992,-9999,560.7424939
5/31/2021,100,79.081,2.988,-9999,485.3245036
6/1/2021,100,79.668,3.1765,0.709665322,446.2490504
6/2/2021,100,79.507,2.1895,-9999,480.571793
6/3/2021,100,78.649,1.2785,0.739988029,492.318085
6/4/2021,100,78.326,1.4555,0.787672128,517.3298159
6/5/2021,100,78.285,3.325,0.960244042,513.525927
6/6/2021,100,78.126,3.628,2.29485763,511.6575311
6/7/2021,100,78.862,3.6015,0.854914662,491.7649641
6/8/2021,98.481,80.772,4.6745,0.646000031,402.8647596
6/9/2021,99.779,81.971,5.3585,-9999,342.8507129
6/10/2021,100,80.496,4.621,0.996314616,350.1556936
6/11/2021,99.819,84.514,6.3485,-9999,231.2854552
6/12/2021,97.082,85.699,6.131,0.918299938,97.47665172
6/13/2021,99.142,86.465,5.8415,1.35445311,138.8153414
6/14/2021,100,81.347,4.2885,0.689709476,526.8438393
6/15/2021,100,81.175,3.182,1.28818683,417.5357966
6/16/2021,100,80.586,2.838,-9999,514.9298046
6/17/2021,100,79.529,2.892,0.646674991,574.0105135
6/18/2021,100,79.509,3.455,-9999,550.3329824
6/19/2021,100,79.364,1.893,0.50685608,557.1261328
6/20/2021,100,77.787,1.5265,0.533106748,612.6644594
6/21/2021,100,79.524,2.118,0.41656939,569.5924281
6/22/2021,100,78.949,2.301,0.644008035,444.8391512
6/23/2021,100,79.646,1.874,0.39747734,420.3521539
6/24/2021,100,78.214,2.336,0.786000037,534.2890357
6/25/2021,100,79.749,3.9525,-9999,516.5711027
6/26/2021,99.506,83.732,6.568,0.311149295,346.184062
6/27/2021,100,81.862,5.033,-9999,381.4926157
6/28/2021,100,80.954,5.4645,0.7058733,432.4735015
6/29/2021,100,81.553,4.7315,0.855690808,433.2984516
6/30/2021,100,80.547,1.967,0.37636141,566.9670394
7/1/2021,100,80.933,1.696,0.699000033,681.7839253
7/2/2021,100,81.062,1.6215,-9999,705.3883378
7/3/2021,99.999,82.303,1.8155,0.517242687,593.4712505
7/4/2021,100,79.59,2.29,-9999,496.8626225
7/5/2021,100,79.309,2.8455,-9999,619.5143842
7/6/2021,100,80.849,2.1635,-9999,392.5834207
7/7/2021,99.986,84.558,2.9405,0.412631957,297.4061974
7/8/2021,100,79.939,3.5215,1.04942281,442.4331184
7/9/2021,100,80.406,2.555,0.521000025,598.3590155
7/10/2021,100,79.379,27.36,-9999,744.4311027
7/11/2021,100,80.86,17.5295,-9999,794.5887588
7/12/2021,99.986,82.243,1.8565,0.540632095,738.8302161
7/13/2021,100,82.653,2.0275,-9999,615.941034
