time_stamp,H,T,PM,AOD,PBLH
1/1/2022,61.27,89.321,23.077,0.720399836,480.7409539
1/2/2022,63.008,88.868,23.176,0.572093585,377.0889453
1/3/2022,59.47,88.862,28.2675,0.470000022,431.8021751
1/4/2022,47.066,89.113,33.5795,-9999,382.1731594
1/5/2022,39.944,89.828,35.609,-9999,360.5073211
1/6/2022,51.064,88.83,42.99,0.922520223,331.4370673
1/7/2022,59.888,89.526,29.922,0.953985828,426.6817941
1/8/2022,61.018,89.892,25.1605,0.928024809,429.3887979
1/9/2022,56.674,90.3,24.813,-9999,426.1895558
1/10/2022,58.753,88.908,28.2785,0.661500031,458.3836527
1/11/2022,61.613,88.682,23.5885,-9999,459.8940824
1/12/2022,60.528,90.479,20.5305,-9999,541.6785761
1/13/2022,59.875,90.242,23.22,-9999,456.948622
1/14/2022,62.162,89.778,25.0395,0.591000028,491.2213986
1/15/2022,61.473,88.782,24.8155,-9999,467.9574718
1/16/2022,60.25,89.084,22.313,-9999,504.8643054
1/17/2022,61.992,88.26,22.5205,0.356681568,569.7030534
1/18/2022,61.738,87.308,21.286,-9999,435.7701179
1/19/2022,55.35,88.189,33.3305,0.648000031,363.6133873
1/20/2022,38.148,88.261,47.4835,0.738000035,313.7140389
1/21/2022,41.366,87.588,69.5835,1.19754887,361.9785188
1/22/2022,42.303,87.403,64.2345,1.0665372,354.4202406
1/23/2022,44.088,87.788,63.79,1.1269198,333.6726749
1/24/2022,58.257,86.473,57.0515,1.05268074,379.215439
1/25/2022,60.177,85.484,56.6705,-9999,352.7970191
1/26/2022,42.434,87.004,65.4125,0.689500033,391.9014542
1/27/2022,55.81,86.975,73.1895,0.976799806,437.8788346
1/28/2022,58.005,88.229,58.3655,1.19000006,356.1556409
1/29/2022,45.331,88.655,54.826,1.41390743,288.1562697
1/30/2022,42.328,87.78,60.108,1.86644794,274.4287691
1/31/2022,38.349,87.449,58.633,1.15086035,343.9545079
2/1/2022,45.361,86.097,78.8225,1.63500008,315.7792327
2/2/2022,51.388,85.913,55.698,0.889500042,363.5723163
2/3/2022,58.703,87.069,44.1525,0.997000047,409.4742979
2/4/2022,61.464,89.226,35.6415,1.65350008,386.3599428
2/5/2022,59.444,87.915,33.692,0.850301635,369.584611
2/6/2022,61.024,88.83,39.864,1.08600923,383.8049628
2/7/2022,62.932,88.718,36.476,1.16847942,443.4810329
2/8/2022,62.942,89.16,28.24,1.63273838,493.1088227
2/9/2022,62.119,89.859,23.8185,1.28302941,485.5235725
2/10/2022,61.298,90.153,25.0605,-9999,423.0945237
2/11/2022,60.777,90.317,23.6755,0.574000027,441.0370057
2/12/2022,58.683,90.353,20.612,0.790500038,486.1224725
2/13/2022,59.837,90.817,18.5535,0.911000043,512.9074658
2/14/2022,60.693,90.357,19.1245,0.660281447,501.4572567
2/15/2022,61.528,90.479,19.276,0.73329796,512.5972883
2/16/2022,59.82,91.441,18.1145,0.62650324,481.5562426
2/17/2022,59.508,90.899,16.078,0.955000045,507.9752755
2/18/2022,59.763,91.15,15.099,0.459500022,575.1470979
2/19/2022,60.174,90.686,13.982,0.345000016,572.8857445
2/20/2022,59.135,90.444,14.774,0.341000016,454.0148085
2/21/2022,59.997,90.332,15.6635,0.699510123,445.343937
2/22/2022,59.538,90.684,14.237,-9999,493.4183872
2/23/2022,58.765,90.976,12.1075,1.30135073,560.8654462
2/24/2022,58.334,91.46,13.5995,1.31501413,514.5840182
2/25/2022,60.905,90.717,17.7855,0.831952941,461.4670379
2/26/2022,60.632,91.181,17.319,-9999,491.8662736
2/27/2022,55.141,91.214,16.115,0.754000036,493.7776046
2/28/2022,58.525,91.114,13.3375,0.905721353,622.5582831
3/1/2022,55.912,91.74,12.7155,0.920000044,630.4929428
3/2/2022,57.911,91.061,12.5645,0.691744742,663.3049427
3/3/2022,56.079,91.04,13.612,0.703019295,693.8347472
3/4/2022,57.122,91.288,13.672,-9999,608.3348663
3/5/2022,55.78,91.238,12.0265,0.657094506,644.7831765
3/6/2022,60.184,88.686,8.944,-9999,582.6833082
3/7/2022,58.073,91.157,7.6,0.473500022,603.6190646
3/8/2022,57.636,91.713,5.7605,0.409000019,584.7822169
3/9/2022,60.381,91.471,8.949,0.42300002,589.3570288
3/10/2022,57.258,91.711,7.5055,-9999,617.7958936
3/11/2022,53.693,92.325,11.7805,0.574000027,583.8847863
3/12/2022,57.48,88.057,13.0015,-9999,449.7894061
3/13/2022,55.336,91.971,5.268,0.977821671,490.1731702
3/14/2022,59.167,90.564,12.6455,-9999,515.5543957
3/15/2022,59.443,91.238,8.13,-9999,610.7194326
