time_stamp,H,T,PM,AOD,PBLH
1/1/2021,59.985,89.116,57.8535,-9999,606.3880542
1/2/2021,59.652,89.682,42.9545,-9999,543.0099078
1/3/2021,58.792,88.217,35.8725,0.566633484,469.100758
1/4/2021,60.399,88.413,35.1945,0.500000024,614.8572177
1/5/2021,59.744,90.641,40.599,0.428631643,536.6978662
1/6/2021,60.976,90.57,39.409,-9999,572.2005621
1/7/2021,60.579,90.2,36.5485,0.562152945,640.5989763
1/8/2021,60.208,89.946,33.8635,-9999,637.8826584
1/9/2021,60.326,89.545,38.4225,0.462666499,633.4668847
1/10/2021,57.865,90.478,36.2745,0.167000008,615.6475897
1/11/2021,56.889,90.998,37.7215,0.42407615,592.801779
1/12/2021,59.007,90.339,40.0535,0.539753142,567.8425824
1/13/2021,57.099,90.545,43.504,0.539000026,596.1710128
1/14/2021,56.765,90.608,42.316,0.567853903,543.5534838
1/15/2021,57.511,89.666,49.128,-9999,455.9534047
1/16/2021,59.893,87.275,52.7725,0.42900002,308.4490671
1/17/2021,57.99,89.031,51.803,0.573565609,465.3753882
1/18/2021,57.401,89.796,51.303,0.461592662,655.6332254
1/19/2021,57.054,90.031,53.0035,0.494638145,580.7931237
1/20/2021,44.309,90.377,63.977,0.913460144,605.7882462
1/21/2021,43.508,86.969,78.2515,0.858751187,633.8292687
1/22/2021,45.916,88.107,88.1165,1.14893585,651.4376937
1/23/2021,45.588,87.383,107.378,1.52663381,536.0324542
1/24/2021,43.545,89.007,111.2805,-9999,561.2009588
1/25/2021,51.843,89.041,80.0375,0.952340622,638.3137704
1/26/2021,56.506,89.645,59.948,0.655583041,698.105565
1/27/2021,57.006,90.655,54.5785,0.761078942,720.5827437
1/28/2021,54.364,91.621,55.8445,0.846538105,556.796119
1/29/2021,52.883,91.815,50.384,0.667687699,743.9549484
1/30/2021,49.162,92.428,51.4945,0.810318143,654.2555415
1/31/2021,54.485,90.707,54.5125,0.82155278,710.8389883
2/1/2021,55.78,91.166,50.29,1.19380624,682.0810079
2/2/2021,57.375,91.021,54.454,0.856000041,597.9095187
2/3/2021,55.411,89.721,53.654,0.869140029,595.4353108
2/4/2021,49.715,91.927,55.9645,0.467132755,690.3252435
2/5/2021,52.37,92.864,44.2665,0.644308045,719.7501978
2/6/2021,49.851,93.137,49.809,0.828764486,826.6253557
2/7/2021,52.554,92.971,46.046,0.833081673,832.8983474
2/8/2021,51.771,91.077,51.748,0.797548192,638.6855264
2/9/2021,55.866,90.679,42.919,-9999,688.6320355
2/10/2021,54.723,91.168,47.503,0.425183466,592.431585
2/11/2021,56.334,90.882,41.3825,0.404143107,569.1187363
2/12/2021,60.273,89.075,42.541,0.495022037,572.1943141
2/13/2021,56.035,92.187,39.4935,0.456051387,519.3331131
2/14/2021,57.836,91.012,37.4375,-9999,583.4828875
2/15/2021,55.727,91.487,38.4285,-9999,517.0666513
2/16/2021,54.056,90.616,45.78,0.476000023,620.6647334
2/17/2021,42.463,91.055,84.2505,0.588521583,713.8926981
2/18/2021,25.698,89.176,163.0245,-9999,620.3617054
2/19/2021,25.361,87.909,135.252,2.23461247,518.6411472
2/20/2021,25.606,87.692,148.9995,-9999,579.5747637
2/21/2021,33.098,87.309,161.6965,-9999,581.5491316
2/22/2021,45.165,88.148,121.491,-9999,654.2164915
2/23/2021,53.553,90.414,81.845,1.78439873,677.0544922
2/24/2021,54.917,90.375,65.833,1.02385785,699.7441029
2/25/2021,56.498,90.49,57.187,-9999,577.0771259
2/26/2021,55.822,91.644,49.7975,1.19645832,620.9693234
2/27/2021,54.908,91.327,47.9245,-9999,545.7699616
2/28/2021,61.563,88.81,48.1635,1.11411138,629.5759429
3/1/2021,54.249,92.998,41.127,0.654106462,693.6116913
3/2/2021,54.721,93.174,44.876,-9999,687.0372336
3/3/2021,52.972,94.239,42.244,0.445739069,798.9514033
3/4/2021,53.708,93.86,44.008,0.502000024,837.7077451
3/5/2021,54.544,93.138,44.7205,0.637634103,734.245557
3/6/2021,56.849,92.362,45.5215,-9999,701.5997588
3/7/2021,53.852,93.455,43.2665,0.762000036,656.1065114
3/8/2021,51.458,92.877,41.0605,0.655000031,680.53619
3/9/2021,55.754,88.557,43.167,-9999,711.0764123
3/10/2021,57.311,88.959,32.4475,-9999,626.2957431
3/11/2021,60.711,89.371,39.618,-9999,567.4661404
3/12/2021,60.436,88.008,43.118,0.609000029,669.9552026
3/13/2021,63.251,85.609,36.62,-9999,372.8675054
3/14/2021,62.383,85.691,36.114,-9999,299.4972456
3/15/2021,57.308,89.281,36.6245,-9999,609.979092
3/16/2021,56.112,90.488,28.7015,-9999,652.1484036
3/17/2021,61.343,88.131,33.8295,-9999,538.898724
3/18/2021,62.851,84.611,27.009,0.474000023,390.3556564
3/19/2021,60.761,87.382,33.4565,-9999,519.6377031
3/20/2021,52.994,89.695,32.141,-9999,490.6516708
3/21/2021,57.365,90.232,31.664,0.669049577,557.041353
3/22/2021,60.014,88.867,47.8435,-9999,502.9461721
3/23/2021,62.83,83.016,31.907,0.313668923,517.7414352
3/24/2021,63.338,85.262,24.327,-9999,577.7612818
3/25/2021,56.942,88.236,27.992,-9999,489.6707348
3/26/2021,49.668,94.592,32.665,0.865134415,577.3004919
3/27/2021,56.165,91.231,35.066,-9999,535.7934682
3/28/2021,53.065,92.201,42.541,1.4794322,696.4873331
3/29/2021,56.336,91.414,46.3345,-9999,673.9836004
3/30/2021,57.294,91.605,43.0405,2.51163524,683.4227658
3/31/2021,52.199,94.549,49.449,2.30421256,590.4181671
4/1/2021,52.039,94.343,42.702,1.36342311,670.0848486
4/2/2021,53.725,93.403,40.3825,0.985387861,692.0512534
4/3/2021,54.964,91.957,38.2985,0.657000031,646.8985219
4/4/2021,53.73,93.179,33.871,0.610811713,752.6459159
4/5/2021,56.343,91.013,33.8915,-9999,598.7920486
4/6/2021,55.643,87.32,43.5515,0.665939494,651.3627177
4/7/2021,57.267,90.458,40.137,0.63400003,592.903309
4/8/2021,58.697,91.583,25.5925,-9999,587.5878233
4/9/2021,60.598,88.114,25.1285,-9999,416.587883
4/10/2021,56.809,91.29,22.9565,0.306006131,564.4358606
4/11/2021,58.526,87.126,20.363,0.335054455,542.0914518
4/12/2021,58.522,85.542,20.195,0.201995423,407.1612135
4/13/2021,57.74,89.015,31.009,0.631890421,492.4354747
4/14/2021,56.667,88.771,28.6515,-9999,582.2364116
4/15/2021,57.015,91.246,20.1385,0.317093601,611.7019779
4/16/2021,59.843,88.203,25.6525,0.688000033,564.4014966
4/17/2021,63.021,86.554,28.9095,-9999,422.5469126
4/18/2021,64.903,82.592,26.4565,-9999,279.8504107
4/19/2021,57.581,88.854,32.9915,-9999,543.4503918
4/20/2021,60.827,89.389,20.624,-9999,428.4981323
4/21/2021,58.77,90.625,28.068,-9999,524.2471649
4/22/2021,60.979,89.059,23.527,0.230000011,524.7079548
4/23/2021,56.815,87.816,17.447,0.359000017,528.8175766
4/24/2021,58.976,89.103,24.017,-9999,389.7902125
4/25/2021,58.152,89.654,32.688,0.332000016,486.829457
4/26/2021,56.562,91.179,23.9455,-9999,550.7136914
4/27/2021,57.674,90.301,25.1585,0.568000027,553.7611532
4/28/2021,60.025,86.431,27.0325,-9999,437.6514518
4/29/2021,54.278,89.947,41.31,0.526736787,498.5756963
4/30/2021,56.994,91.349,21.569,-9999,496.9418444
5/1/2021,56.858,91.228,21.7645,0.679000032,504.66281
5/2/2021,57.753,91.127,30.265,-9999,385.1260807
5/3/2021,58.251,89.195,33.418,0.522000025,349.1875868
5/4/2021,62.358,87.782,27.872,-9999,250.7909643
5/5/2021,59.211,90.086,18.9475,-9999,407.7563355
5/6/2021,61.046,84.735,19.5095,-9999,500.5485022
5/7/2021,57.718,88.057,20.8455,-9999,557.003865
5/8/2021,61.308,86.59,28.6615,0.380550007,378.4032331
5/9/2021,60.294,88.043,17.039,-9999,289.4926361
5/10/2021,55.47,90.487,26.832,0.305000014,316.6089546
5/11/2021,56.891,90.662,17.368,0.245000012,516.2981473
5/12/2021,57.022,89.119,17.584,-9999,448.6557411
5/13/2021,54.043,88.652,40.6525,0.285333551,504.784646
5/14/2021,58.408,88.477,29.9175,0.274000013,487.005963
5/15/2021,60.383,88.936,30.219,0.301227313,396.2443961
5/16/2021,59.964,88.552,18.5205,-9999,340.2951213
5/17/2021,60.121,89.915,22.1675,0.374000018,343.8799111
5/18/2021,60.347,90.367,20.574,-9999,293.3570239
5/19/2021,59.619,90.126,18.332,0.20500001,495.7625345
5/20/2021,58.038,87.625,26.8825,-9999,188.0001299
5/21/2021,60.562,87.96,31.707,0.20400001,402.4830237
5/22/2021,58.134,85.553,34.1355,-9999,322.1540543
5/23/2021,52.961,89.28,47.005,-9999,371.0946355
5/24/2021,55.146,91.501,33.922,0.168995422,528.5754666
5/25/2021,57.004,92.383,22.079,0.375000018,469.527184
5/26/2021,53.983,93.426,19.8125,0.407323974,437.9919677
5/27/2021,59.849,89.485,32.9645,0.369000018,325.5264121
5/28/2021,60.229,89.513,33.7835,-9999,386.6396586
5/29/2021,64.727,87.844,37.528,0.423610243,275.5486629
5/30/2021,53.896,91.501,25.3745,-9999,375.8712313
5/31/2021,57.783,90.819,31.784,-9999,280.1893647
6/1/2021,65.722,83.783,32.826,-9999,249.5241824
6/2/2021,58.402,89.038,34.0305,0.250000012,381.8068309
6/3/2021,53.413,92.243,23.8575,0.326000015,434.113522
6/4/2021,59.757,85.505,22.5265,0.701000033,204.068423
6/5/2021,62.311,84.265,51.03,-9999,176.3991565
6/6/2021,61.602,86.217,28.1095,-9999,236.9641411
6/7/2021,55.401,90.492,31.7235,0.136755739,434.9320099
6/8/2021,62.551,86.903,28.4395,-9999,454.0212108
6/9/2021,69.292,82.59,37.898,-9999,168.946855
6/10/2021,59.61,86.893,21.3445,0.292000014,469.380356
6/11/2021,64.865,83.473,24.5005,-9999,275.6064569
6/12/2021,55.941,89.075,24.6025,0.177535322,355.0528964
6/13/2021,57.46,90.337,25.219,-9999,506.3888199
6/14/2021,59.345,88.428,18.9355,0.388000018,371.3789195
6/15/2021,61.092,88.395,30.4255,-9999,407.9281554
6/16/2021,58.414,87.814,21.4945,0.250028149,502.3088761
6/17/2021,57.137,88.134,13.0405,-9999,355.4449584
6/18/2021,61.332,86.551,32.376,0.522076155,365.5495358
6/19/2021,62.083,86.124,20.8065,-9999,354.5639905
6/20/2021,65.912,86.281,22.3475,0.235971577,279.1693787
6/21/2021,63.594,86.28,14.656,-9999,301.8261874
6/22/2021,62.905,86.011,24.0075,-9999,301.9011634
6/23/2021,64.171,84.406,30.663,-9999,219.8149441
6/24/2021,60.526,86.453,30.449,-9999,403.9247497
6/25/2021,57.852,89.535,25.034,0.256806651,326.3542721
6/26/2021,62.025,83.502,23.146,-9999,170.2292569
6/27/2021,60.319,84.482,27.9805,0.353000017,387.5393706
6/28/2021,59.981,85.802,36.2055,0.481000023,368.7813137
6/29/2021,68.552,81.802,23.992,-9999,402.1268878
6/30/2021,61.233,86.635,23.7815,0.24045094,411.4410932
7/1/2021,61.278,86.475,30.2195,-9999,411.5457472
7/2/2021,64.811,85.335,36.3235,0.43258029,373.6594394
7/3/2021,69.278,82.035,21.5075,-9999,213.0296165
7/4/2021,62.977,84.736,18.4805,-9999,256.240782
7/5/2021,62.642,85.501,35.9195,0.486000023,383.6640488
7/6/2021,60.077,86.332,31.887,0.542000026,275.7751529
7/7/2021,62.79,86.835,32.9005,0.714000034,414.6994251
7/8/2021,64.148,85.115,26.49,0.42700002,419.4885168
7/9/2021,67.992,82.024,36.318,-9999,329.6766459
7/10/2021,62.302,85.812,41.6875,-9999,397.659568
7/11/2021,61.049,86.785,32.7175,0.339000016,344.557819
7/12/2021,62.983,83.875,30.775,0.356000017,282.4480165
7/13/2021,63.023,83.695,24.219,0.21500001,482.7557612
7/14/2021,66.801,83.642,34.1725,-9999,475.9813676
7/15/2021,64.171,85.324,29.8585,-9999,428.6949443
7/16/2021,65.768,83.319,37.182,-9999,234.8663752
7/17/2021,65.619,83.882,37.785,-9999,340.0545733
7/18/2021,64.453,85.368,49.22,-9999,394.1763082
7/19/2021,64.739,84.968,40.1625,-9999,452.8012889
7/20/2021,64.613,84.983,28.4615,0.466358623,414.0324511
7/21/2021,63.684,85.328,54.298,-9999,452.3904829
7/22/2021,64.231,84.329,41.4475,-9999,391.6817944
7/23/2021,60.271,85.835,36.479,-9999,568.6938723
7/24/2021,59.482,85.896,38.5955,-9999,536.9743401
7/25/2021,60.106,85.578,31.1425,0.548000026,529.5407826
7/26/2021,59.447,84.821,30.108,-9999,543.2535798
7/27/2021,57.89,85.179,48.4925,0.688936744,584.3576075
7/28/2021,58.278,86.264,42.4605,-9999,408.8591074
7/29/2021,60.228,85.645,41.3865,0.625025712,513.5724575
7/30/2021,59.259,86.137,42.6995,0.565000027,465.4331822
7/31/2021,57.686,87.338,45.343,0.440589451,483.7991771
8/1/2021,62.029,85.903,42.3965,1.17827854,413.6372651
8/2/2021,64.127,85.194,39.691,-9999,421.7815327
8/3/2021,62.939,86.222,37.2975,0.265000013,377.1661292
8/4/2021,69.446,83.177,28.075,-9999,288.3148882
8/5/2021,67.287,85.202,27.3725,-9999,375.7025353
8/6/2021,65.552,85.485,34.0675,-9999,391.9364003
8/7/2021,69.421,83.658,43.245,-9999,299.5269236
8/8/2021,71.63,81.604,32.4925,-9999,382.2972989
8/9/2021,68.315,82.839,41.85,-9999,280.8204126
8/10/2021,67.166,84.332,39.748,-9999,436.7220618
8/11/2021,72.336,81.601,40.677,-9999,406.2240135
8/12/2021,66.345,84.158,48.553,0.318000015,444.0384694
8/13/2021,66.354,84.238,52.509,-9999,436.3096938
8/14/2021,62.806,85.8,42.1475,0.266976165,513.0445015
8/15/2021,64.413,84.608,27.9555,0.289000014,491.1249567
8/16/2021,68.128,83.106,36.8935,-9999,257.349802
8/17/2021,64.498,85.663,36.508,-9999,144.1688504
8/18/2021,64.498,85.545,52.3275,-9999,350.4387487
8/19/2021,67.986,83.061,57.989,-9999,335.4888475
8/20/2021,68.23,82.917,39.8785,-9999,186.862994
8/21/2021,64.924,84.73,28.296,0.363000017,239.874147
8/22/2021,63.225,85.629,41.035,-9999,241.4830069
8/23/2021,64.207,85.886,19.4995,0.231000011,369.6154216
8/24/2021,67.095,84.397,18.035,-9999,258.8446359
8/25/2021,65.262,85.436,26.882,-9999,362.605166
8/26/2021,68.679,83.672,25.614,-9999,232.9435533
8/27/2021,70.777,82.569,20.953,-9999,258.7868419
8/28/2021,63.612,85.419,21.56,0.242075859,346.2588369
8/29/2021,66.722,83.911,11.016,-9999,258.8165199
8/30/2021,66.224,85.226,19.243,0.327000016,281.9419286
8/31/2021,63.642,86.924,15.723,0.323000015,447.8856752
9/1/2021,68.143,84.135,12.0565,-9999,288.1352582
9/2/2021,63.895,85.092,27.29,-9999,345.106081
9/3/2021,70.72,81.34,17.597,-9999,151.8007819
9/4/2021,65.98,84.51,16.1975,0.617000029,332.2070857
9/5/2021,65.482,84.397,19.2095,-9999,241.5564209
9/6/2021,66.803,85.225,20.332,-9999,244.1587127
9/7/2021,64.415,86.514,16.3195,-9999,286.4686043
9/8/2021,66.783,85.081,29.506,0.351000017,358.8095062
9/9/2021,61.392,88.545,16.994,0.257985944,364.9606619
9/10/2021,,,,-9999,193.1328616
9/11/2021,73,79,7.0725,0.193000009,349.0438828
9/12/2021,71,82,21.725,-9999,494.2770726
9/13/2021,,,,0.340000016,245.8316146
9/14/2021,61.057,86.678,35.3965,0.20500001,293.2242539
9/15/2021,63.96,85.394,47.311,-9999,330.9184358
9/16/2021,64.984,85.13,19.2535,-9999,400.6992198
9/17/2021,63.241,86.472,25.0845,0.330000016,300.6874895
9/18/2021,64.436,85.657,22.514,0.345533495,401.4474178
9/19/2021,63.234,86.489,14.9355,-9999,356.3884064
9/20/2021,62.666,86.922,16.864,0.289045278,385.5618787
9/21/2021,66.265,82.644,35.5035,-9999,211.1661506
9/22/2021,63.245,84.847,28.8905,-9999,200.2540192
9/23/2021,58.493,89.177,27.9785,-9999,343.9205231
9/24/2021,62.349,87.78,28.649,-9999,338.2910754
9/25/2021,66.505,82.285,27.014,-9999,242.4545708
9/26/2021,59.365,86.545,19.386,-9999,356.0557004
9/27/2021,61.635,86.48,25.6425,-9999,350.5168487
9/28/2021,60.624,86.509,21.857,-9999,364.2718199
9/29/2021,61.359,86.774,35.2565,-9999,347.1101269
9/30/2021,65.466,85.339,24.1065,-9999,302.6899734
10/1/2021,64.071,86.206,32.546,0.265000013,249.7725404
10/2/2021,62.455,87.824,24.336,0.358000017,425.3960005
10/3/2021,62.055,86.333,15.9405,0.278000013,364.5092439
10/4/2021,58.541,88.227,23.3515,0.191492213,441.1940676
10/5/2021,62.283,86.95,35.1015,-9999,323.3786622
10/6/2021,63.778,85.06,24.0645,0.245000012,213.1530145
10/7/2021,62.684,87.098,24.877,-9999,304.0942113
10/8/2021,57.79,90.226,26.472,0.313989008,441.0394296
10/9/2021,64.729,85.707,12.571,-9999,227.7592756
10/10/2021,64.158,85.918,24.1995,-9999,359.3452722
10/11/2021,63.356,87.972,18.23,-9999,352.3100246
10/12/2021,59.197,90.784,23.5485,0.254000012,431.3675261
10/13/2021,57.376,90.059,39.3535,0.430471128,378.5578711
10/14/2021,60.878,86.715,34.192,-9999,483.7023332
10/15/2021,60.747,87.614,36.6865,0.30839737,447.8278812
10/16/2021,59.35,88.076,30.304,0.381000018,389.8136425
10/17/2021,65.679,83.167,31.277,-9999,272.3043891
10/18/2021,62.318,86.704,25.749,-9999,314.3799807
10/19/2021,65.153,85.712,19.9335,-9999,309.483111
10/20/2021,61.092,87.854,20.9045,0.184000009,341.1495352
10/21/2021,62.257,88.727,21.54,0.368000017,351.4946606
10/22/2021,64.784,85.792,31.901,-9999,202.7219791
10/23/2021,67.034,83.394,30.8,-9999,170.4416889
10/24/2021,58.297,87.667,12.362,0.079267661,431.3050461
10/25/2021,63.108,87.522,19.728,-9999,359.2156262
10/26/2021,56.028,89.965,25.689,-9999,244.9240927
10/27/2021,61.28,87.561,31.1315,0.289000014,387.9907886
10/28/2021,66.527,84.311,38.0575,-9999,298.7084356
10/29/2021,57.975,89.566,39.4655,0.262526154,390.5165424
10/30/2021,51.188,94.36,20.077,-9999,339.3938473
10/31/2021,54.833,93.592,24.7505,-9999,372.9112414
11/1/2021,60.731,86.871,65.625,-9999,383.0501828
11/2/2021,63.471,85.504,41.236,0.369986259,337.9068234
11/3/2021,59.21,90.655,28.2165,0.675118355,441.9266455
11/4/2021,61.624,89.484,38.2145,0.337000016,388.8155245
11/5/2021,66.36,83.173,21.8755,0.509000024,206.2271069
11/6/2021,61.771,87.993,27.875,-9999,355.8526404
11/7/2021,61.964,87.665,27.556,0.375022038,269.8286193
11/8/2021,64.028,86.78,30.3235,-9999,344.478157
11/9/2021,66.013,84.803,46.648,0.373668112,311.5043389
11/10/2021,63.973,87.248,44.993,0.265000013,262.3325817
11/11/2021,68.186,85.041,32.561,-9999,294.1614539
11/12/2021,59.558,89.237,37.402,0.27904097,322.6945063
11/13/2021,60.315,89.393,48.333,0.278000013,350.7214707
11/14/2021,60.507,88.951,31.8055,0.323448751,348.9860888
11/15/2021,61.266,87.907,42.977,-9999,385.2073047
11/16/2021,62.154,85.523,30.3275,0.371519279,330.3233138
11/17/2021,63.496,86.367,54.5495,0.391000019,320.5904924
11/18/2021,59.368,88.835,39.2965,0.302505976,371.7803535
11/19/2021,60.898,88.813,44.528,0.568000027,341.3119832
11/20/2021,62.303,87.423,52.0775,-9999,278.5773808
11/21/2021,62.548,88.746,45.3015,0.28078097,375.7837593
11/22/2021,58.171,89.553,39.65,0.442000021,406.0209535
11/23/2021,58.998,88.185,40.976,0.475047733,343.7127771
11/24/2021,61.009,87.748,38.2725,-9999,389.1591645
11/25/2021,60.414,89.082,38.0415,0.351807114,414.994643
11/26/2021,56.016,89.212,53.4965,0.31012751,398.100052
11/27/2021,57.989,89.275,48.3035,0.263500013,387.1957306
11/28/2021,57.896,90.464,35.4885,0.242781885,447.8200712
11/29/2021,61.484,89.506,41.59,0.461729449,390.5274764
11/30/2021,60.54,89.479,40.4665,0.348442636,445.5973453
12/1/2021,58.493,90.732,34.241,0.182000009,446.8485072
12/2/2021,59.334,89.144,36.6165,0.341313534,414.2136431
12/3/2021,55.618,90.2,49.6085,-9999,436.8001618
12/4/2021,56.572,90.576,43.0655,0.932772287,466.3578861
12/5/2021,56.238,91.869,38.156,0.840508295,490.0909128
12/6/2021,59.697,90.816,38.2665,-9999,463.0808103
12/7/2021,55.667,91.853,38.3335,0.508245667,442.6092395
12/8/2021,51.42,91.779,51.0715,1.14407848,515.9841853
12/9/2021,50.193,89.023,61.618,0.7310381,472.0466898
12/10/2021,30.401,93.246,98.2425,-9999,457.1811367
12/11/2021,48.596,88.709,64.186,1.39381037,519.9547891
12/12/2021,53.052,90.563,55.6215,0.689572494,460.7003225
12/13/2021,55.439,91.329,48.446,0.582506907,536.6869322
12/14/2021,56.334,91.159,40.8915,0.525796574,610.060316
12/15/2021,55.364,90.215,39.383,0.736000035,473.5477717
12/16/2021,41.139,90.17,76.564,1.13676358,476.3984216
12/17/2021,34.321,88.657,80.288,1.10151243,425.9770644
12/18/2021,34.085,87.865,69.144,0.963326405,399.8026319
12/19/2021,30.053,87.804,67.577,0.864000041,397.67675
12/20/2021,29.361,88.357,72.3955,0.696071577,427.2172923
12/21/2021,28.438,89.151,85.104,0.423767677,410.8881453
12/22/2021,31.842,88.948,113.7295,0.893031228,416.028687
12/23/2021,34.255,90.163,78.3305,0.920376392,417.4844709
12/24/2021,46.29,89.553,85.1405,0.874731468,577.8690598
