time_stamp,H,T,PM,AOD,PBLH
1/1/2023,11.802,87.967,39.3995,0.489283125,569.9127217
1/2/2023,12.872,88.15,43.383,0.6290036,531.2555656
1/3/2023,14.096,88.031,51.061,1.14085369,494.8668885
1/4/2023,16.339,89.932,62.8235,1.19595488,545.9645076
1/5/2023,17.735,90.402,65.066,1.44652564,581.9552966
1/6/2023,19.671,90.737,64.6855,1.6304551,649.5988605
1/7/2023,17.507,91.968,56.5605,1.08023674,667.8474566
1/8/2023,12.214,92.29,41.7525,0.365444219,676.4485575
1/9/2023,11.891,92.1,36.689,0.187258556,704.2723053
1/10/2023,12.622,91.122,38.154,0.222928081,645.3383572
1/11/2023,14.967,90.239,58.152,0.990230086,596.2999384
1/12/2023,15.804,90.594,55.972,0.97202746,580.0795383
1/13/2023,15.404,89.498,57.1115,0.695355683,546.775786
1/14/2023,13.81,89.293,49.361,0.309972371,581.7408504
1/15/2023,16.673,88.365,55.8405,0.639687977,622.2763485
1/16/2023,14.671,90.332,49.861,0.402720845,621.3591388
1/17/2023,13.816,90.006,42.4465,0.33023245,599.6173952
1/18/2023,13.527,90.029,49.8885,0.462071282,531.2814025
1/19/2023,,,,0.433626087,557.3921644
1/20/2023,,,,0.473700478,577.5113513
1/21/2023,,,,-9999,708.9642847
1/22/2023,,,,0.447405166,725.9365383
1/23/2023,,,,0.538299651,747.2054669
1/24/2023,,,,0.42633001,813.2316415
1/25/2023,11.379,99.208,55.194,0.259974153,702.0141611
1/26/2023,13.781,93.779,69.8645,0.173602242,647.1960297
1/27/2023,14.589,92.644,72.1285,0.323505837,683.5278656
1/28/2023,19.972,92.235,61.088,-9999,687.2457942
1/29/2023,13.981,91.878,45.0565,0.246103099,581.660756
1/30/2023,11.338,92.365,38.5885,0.212812051,547.4449614
1/31/2023,9.66,92.614,52.5855,0.358000017,527.0570709
2/1/2023,9.252,93.443,61.524,0.391006264,620.7287187
2/2/2023,24.814,93.552,101.3555,0.525729015,620.5840321
2/3/2023,26.249,96.728,82.098,0.5379487,738.7981426
2/4/2023,17.689,96.777,63.827,1.10539465,724.3036468
2/5/2023,13.604,96.129,57.4985,0.386152286,798.6751372
2/6/2023,17.537,96.053,58.8455,0.475000023,841.489449
2/7/2023,26.742,95.197,65.7185,0.448681128,904.9267672
2/8/2023,18.203,95.687,52.1985,0.420269025,841.8925045
2/9/2023,13.118,95.906,55.148,0.752879363,721.8801464
2/10/2023,14.52,95.397,65.3575,0.488415142,695.4283376
2/11/2023,13.214,96.757,63.3025,0.36543158,628.6528931
2/12/2023,7.028,96.831,44.2735,0.374875574,700.2495014
2/13/2023,8.56,95.378,44.424,0.543050806,705.8018493
2/14/2023,9.89,95.194,39.937,0.643678268,838.9651848
2/15/2023,9.916,92.244,33.8185,0.543000026,770.4715871
2/16/2023,9.981,90.301,46.443,1.20098612,688.3386947
2/17/2023,11.102,89.167,79.9225,2.25674057,573.1836721
2/18/2023,10.225,90.703,68.876,1.47991895,611.6987253
2/19/2023,9.85,93.151,67.2,2.26513802,666.248153
2/20/2023,9.603,95.029,69.5985,1.67478796,677.8980071
2/21/2023,8.901,95.921,70.692,1.41391759,644.5968385
2/22/2023,9.145,95.6,72.594,1.25625069,642.1475012
2/23/2023,10.807,96.465,83.091,1.18174535,719.673676
2/24/2023,16.45,96.66,84.007,1.13951423,786.9658582
2/25/2023,21.326,96.715,84.757,0.693500033,819.9957395
2/26/2023,26.651,98.732,68.783,0.644435454,981.5253975
2/27/2023,37.52,93.524,62.8975,-9999,982.2669163
2/28/2023,46.222,88.974,61.6585,0.343661901,415.6845691
3/1/2023,32.451,95.379,72.639,0.421779747,836.8930661
3/2/2023,18.868,97.383,72.1185,0.280454466,801.1787319
3/3/2023,30.314,97.961,68.3255,0.484208265,843.334203
3/4/2023,30.964,98.988,62.3535,0.354974694,882.8620624
3/5/2023,30.034,98.385,61.343,0.287461455,769.8179138
3/6/2023,26.022,99.761,63.8905,-9999,798.5640385
3/7/2023,29.875,98.379,63.072,0.39691118,850.8062319
3/8/2023,30.372,100.197,65.4245,0.319000015,967.1109961
3/9/2023,37.971,97.65,60.2565,0.606000029,656.3035337
3/10/2023,34.404,94.253,54.1845,0.411394972,641.9227203
3/11/2023,30.649,99.012,57.825,0.347264054,980.0449437
3/12/2023,29.934,98.852,54.789,0.775169456,876.2400672
3/13/2023,24.189,97.94,53.3985,-9999,873.7416399
3/14/2023,14.253,98.156,65.8645,0.107892142,880.0794292
3/15/2023,21.496,97.435,73.032,0.384435357,955.5696569
3/16/2023,18.942,98.212,70.196,0.210590946,1020.756133
3/17/2023,23.065,98.552,69.5745,0.337153132,1177.064155
3/18/2023,38.569,92.988,59.259,-9999,640.0366272
3/19/2023,44.683,90.405,50.441,0.341855296,466.0019141
3/20/2023,38.904,93.843,55.7255,-9999,729.4658576
3/21/2023,46.581,91.207,61.9625,-9999,386.6981612
3/22/2023,45.324,90.636,56.1245,-9999,539.8463318
3/23/2023,41.633,92.072,44.7175,0.239568716,620.4470966
3/24/2023,38.941,93.005,49.712,0.279514218,543.1947929
3/25/2023,35.61,96.448,49.672,0.351000017,699.321957
3/26/2023,37.591,94.407,52.4345,-9999,739.7437728
3/27/2023,45.977,90.246,43.3805,-9999,633.6290783
3/28/2023,51.509,89.693,59.26,0.414684711,649.0459511
3/29/2023,40.994,94.224,55.2215,0.863752979,655.3811567
3/30/2023,39.71,95.164,53.228,0.798090706,672.7254616
3/31/2023,36.979,96.18,58.9685,-9999,674.3893573
4/1/2023,30.091,98.185,60.2835,1.42097276,785.7954471
4/2/2023,35.224,97.164,56.5945,1.61984438,736.1472776
4/3/2023,36.351,95.62,52.852,-9999,812.0508956
4/4/2023,35.303,97.356,52.0525,0.765280412,872.8218466
4/5/2023,36.676,96.945,51.399,0.577500027,761.3356625
4/6/2023,42.15,94.256,47.6935,0.377785794,720.1464911
4/7/2023,40.07,95.233,47.2685,0.474500023,623.792974
4/8/2023,46.374,90.581,50.496,0.396325613,748.4998951
4/9/2023,46.401,92.438,57.5435,-9999,573.0906593
4/10/2023,48.454,92.529,54.0855,-9999,673.4566456
4/11/2023,33.984,95.718,60.8075,0.331529436,755.5456152
4/12/2023,38.593,97.322,54.1425,0.510000024,881.7665782
4/13/2023,42.565,94.422,44.076,0.506398504,644.2377057
4/14/2023,45.782,91.778,58.353,0.451266934,578.3252134
4/15/2023,42.383,95.042,44.1215,1.20500006,630.1075101
4/16/2023,40.544,95.116,46.914,0.751132699,619.2405138
4/17/2023,37.048,95.801,43.608,-9999,670.3923903
4/18/2023,38.946,96.658,49.0325,0.426084049,445.1076204
4/19/2023,50.453,89.029,32.203,0.484000023,547.6309871
4/20/2023,45.736,94.932,34.927,0.43000002,654.5130372
4/21/2023,49.404,92.187,28.5305,0.305633217,684.1867064
4/22/2023,33.483,102.442,31.631,-9999,754.674912
4/23/2023,43.494,95.105,30.1865,0.341000016,686.9099146
4/24/2023,46.053,93.721,30.8065,-9999,343.6719869
4/25/2023,44.664,95.874,35.3725,0.081285829,572.362059
4/26/2023,45.588,92.517,32.2105,0.331937471,480.0416805
4/27/2023,44.087,92.174,33.737,0.326311474,602.784998
4/28/2023,37.069,95.086,33.534,0.219598386,561.5570712
4/29/2023,48.951,90.137,39.238,0.21800001,408.5613383
4/30/2023,47.276,89.68,34.366,0.24708462,545.7138898
5/1/2023,41.992,94.561,41.669,-9999,652.652781
5/2/2023,41.912,92.228,31.984,0.258655938,404.8640792
5/3/2023,41.691,94.512,37.8405,0.277191551,761.1238
5/4/2023,41.12,97.309,38.495,0.257106345,606.0016909
5/5/2023,41.087,95.381,37.198,0.233000011,556.307015
5/6/2023,48.201,93.383,48.4325,0.21500001,541.8047682
5/7/2023,53.656,88.182,31.8445,0.188390108,419.7952184
5/8/2023,54.672,87.932,41.745,-9999,420.9165395
5/9/2023,48.779,94.145,49.9475,0.18319676,494.6291891
5/10/2023,44.428,94.857,36.216,0.275626396,647.5887504
5/11/2023,37.493,99.599,40.457,0.270029223,703.2982545
5/12/2023,46.493,93.746,40.567,0.185999135,682.6959177
5/13/2023,47.114,95.99,53.1975,-9999,588.3137554
5/14/2023,44.83,96.576,37.393,0.332339935,374.4359728
5/15/2023,53.811,89.376,31.908,-9999,332.3037549
5/16/2023,51.12,92.01,37.277,0.539610211,552.8422879
5/17/2023,47.082,95.736,39.248,0.47924733,535.058756
5/18/2023,57.349,87.141,33.6095,-9999,255.909236
5/19/2023,53.639,90.672,36.9595,0.18421731,511.2733142
5/20/2023,51.145,93.034,35.344,0.610000029,457.6204267
5/21/2023,53.194,92.05,37.1955,-9999,472.4352999
5/22/2023,52.461,92.403,40.009,-9999,584.0429174
5/23/2023,47.81,94.813,49.1285,0.255000012,444.9758523
5/24/2023,49.455,91.816,44.7315,-9999,393.5423536
5/25/2023,52.391,89.835,37.2875,-9999,530.3125191
5/26/2023,49.332,94.026,39.115,0.38521573,507.5786388
5/27/2023,52.767,92.021,40.936,-9999,402.3604845
5/28/2023,48.996,92.707,36.9975,0.330038247,639.7627562
5/29/2023,45.904,95.142,40.735,-9999,612.0914461
5/30/2023,47.567,95.026,43.6195,0.334447134,577.4080038
5/31/2023,46.717,95.349,41.967,-9999,595.0080938
6/1/2023,51.313,90.829,33.6025,0.254206364,499.4994431
6/2/2023,53.2,90.712,38.4495,-9999,425.2933088
6/3/2023,48.986,92.751,48.8545,-9999,618.0210125
6/4/2023,51.335,91.65,41.9935,0.275063583,407.9360855
6/5/2023,49.766,92.924,40.3525,-9999,506.064597
6/6/2023,43.672,93.906,46.477,0.150000007,451.7787056
6/7/2023,44.654,93.647,36.655,0.106317601,624.3303813
6/8/2023,45.883,93.024,31.208,0.331000016,649.3844144
6/9/2023,46.786,93.327,32.843,0.272000013,553.8990168
6/10/2023,52.672,88.902,37.949,-9999,544.2773586
6/11/2023,55.187,88.135,32.9255,0.287539253,493.6422199
6/12/2023,49.564,90.247,36.297,-9999,487.9865245
6/13/2023,44.094,92.995,47.3885,0.021554628,501.4578794
6/14/2023,48.176,91.309,44.7815,-9999,347.6612028
6/15/2023,61.189,86.93,39.062,0.197000009,229.0078652
6/16/2023,61.967,85.675,42.06,0.007,392.7569121
6/17/2023,,,,0.295017462,421.3325134
6/18/2023,,,,0.5513791,549.6643504
6/19/2023,,,,-9999,556.7023194
6/20/2023,60.336,84.869,36.8435,0.630223153,433.2820755
6/21/2023,59.315,85.751,47.042,-9999,575.4573185
6/22/2023,61.444,83.301,36.7265,0.524087735,617.3001633
6/23/2023,57.807,87.282,40.1875,0.450000021,571.8143169
6/24/2023,57.562,85.4,40.3245,-9999,310.0142691
6/25/2023,60.278,85.614,33.119,0.386000018,384.8895789
6/26/2023,59.008,86.985,31.782,-9999,418.7204038
6/27/2023,55.055,88.171,34.94,-9999,501.7575873
6/28/2023,56.183,85.887,39.571,-9999,423.2987008
6/29/2023,56.996,88.096,37.174,-9999,422.125706
6/30/2023,54.878,88.618,37.267,0.146013829,475.4246282
7/1/2023,52.943,90.293,46.848,-9999,506.8965449
7/2/2023,52.529,89.611,50.0165,0.326258487,318.0753791
7/3/2023,50.35,90.656,42.2135,-9999,397.8726165
7/4/2023,54.764,87.49,41.42,-9999,396.8055529
7/5/2023,50.625,88.629,44.1375,0.065500003,377.2857819
7/6/2023,47.671,93.711,49.3005,0.185000009,486.7980275
7/7/2023,51.788,91.277,47.322,0.234000011,469.6630015
7/8/2023,57.222,85.722,36.3275,-9999,364.778143
7/9/2023,56.889,86.039,39.9715,0.392500019,314.0060688
7/10/2023,56.683,88.678,41.624,0.147000007,374.2990373
7/11/2023,52.43,90.914,38.4485,0.341509001,494.7428715
7/12/2023,57.251,85.604,47.2305,-9999,253.0284226
7/13/2023,56.418,88.082,48.6675,-9999,502.4577671
7/14/2023,54.398,90.465,46.114,0.311371803,399.7406237
7/15/2023,53.419,89.797,37.638,-9999,296.0700991
7/16/2023,51.719,90.389,32.7865,0.126497698,371.1882756
7/17/2023,59.658,87.067,35.7885,-9999,252.6925431
7/18/2023,58.803,88.273,36.1725,-9999,373.1363772
7/19/2023,60.507,83.32,33.679,0.15193919,276.4624827
7/20/2023,,,,-9999,505.6796274
7/21/2023,53.244,91.336,37.897,0.515791312,382.0552719
7/22/2023,59.521,87.919,41.1115,-9999,420.7744366
7/23/2023,60.029,86.918,32.4535,0.386000018,444.2369172
7/24/2023,61.636,86.489,41.5515,-9999,261.601103
7/25/2023,58.808,87.649,39.2485,0.213940133,443.7744368
7/26/2023,57.218,89.522,44.8035,0.252650442,448.0736955
7/27/2023,56.153,90.254,42.496,-9999,383.2541037
7/28/2023,60.62,85.949,37.9075,0.588000028,427.8744142
7/29/2023,58.355,87.827,37.1865,-9999,414.8190332
7/30/2023,58.506,88.397,36.2375,0.264791243,375.6218861
7/31/2023,58.668,87.76,34.575,-9999,391.4805697
8/1/2023,65.425,83.147,37.7605,-9999,431.2512958
8/2/2023,62.606,83.808,30.7475,-9999,449.6704153
8/3/2023,58.758,86.999,41.027,-9999,438.9558567
8/4/2023,57.457,88.156,33.989,0.359969257,424.7688199
8/5/2023,59.969,85.908,31.4105,-9999,380.6316593
